participantId	enrollmentState	successfulRatingNeededToEarnIn	timestampOfLastStateChange	timestampOfLastEarnOut
E786F29F77E52D959A2604701A9A4F491B0BA83687E515C1ED08AA9339540B18	earnedIn	5	1673386315223	1
7321FA82ADEE4144943DABBEFC6BF4FF3EF41608FCF6EE840F83118BFB065E22	newUser	5	1673386315223	1
8FB311DCABCAD7A906CFE9288C7BCD3790CD715C97D2C8AC50F2AEE2F2184D08	newUser	5	1673386315223	1
8FB17FA58C0E456E78DD5B6D68C63ABD128F18A011BE495291C8D75141CAE189	newUser	5	1673386315223	1
48F3FB3924371079B5948A129825AD2B4E6A045A7C42DC4EA9B436C954805F69	newUser	5	1673386315223	1
D1958E4C805C87BF0D871964ED8D90BA2C943A1E782CCB4E257BA250D3E733F7	earnedIn	5	1673386315223	1
53877B59D04B57EECC3ECFFDC2BC17D6862118E1FD89DD54FED376B2DA24C144	newUser	5	1673386315223	1
713430F8CA7B7EF029640F5FF2B6E76BB04DA03A9BC050FC76C9B7CADE33C249	newUser	5	1673386315223	1
3EFBE5FA4A99D9374B420B21DF40E67298B52D82275A029212A5A2C49534F2DC	newUser	5	1667433163514	1
54A258CAA7C633550104946330EE1F90EB8F2993E6D0DD01EB3AE2699011F36D	newUser	5	1673386315223	1
0D9A5B37C9ACE83694EDD6C92663620372E2CC71FF82E50CE60C8BAD7B62328D	earnedIn	5	1673386315223	1
88DE8C7CDDCEF6CAD6572CAEF26C5A16C8D8F0822A066983456D60676C547B99	newUser	5	1667695566428	1
FFA8925ECD3964145120B4A8455246F3973EE52C1CFA2F8D2B1B82627769FAE9	earnedIn	5	1673386315223	1
A2EFA56A9967F0DA695C8843C5CE71DADB557A2F135B70E442D44C1F6DAD954D	newUser	5	1673386315223	1
AA8B10AAAD804B383E8F6BE5904A2023E908B6FBCE3BAAF82EBE7F5687F653EA	newUser	5	1668994281023	1
A26BECDF21FFCBB2B9720291FCDB5843D309B66881CDBAAA2033262E17E8FA0E	newUser	5	1667672347898	1
CA77CA52EA92600C1CC23F45FA03E187B7A84A564319312D0FE83694F665B3E8	newUser	5	1673386315223	1
E9B469EFE181F5ED480B5CF26F13705D424F34BE43D8EB96503E3E48BDDB57DD	newUser	5	1673386315223	1
119BD4E0B4E2D41F2DFA714A59F347F232DFE4C1583BA2FF0C8B93D6F28F6F6D	earnedIn	5	1673386315223	1
AF9FC2A0FDC7DC62EBF6A0D7C14E0A036FEC97203D520DBA2A58E87DE50B7106	newUser	5	1673386315223	1
820335F8EF40F8E6CA4E68073B4AF9CF7E09EB039D4D29BCE7A5B6481129770D	earnedIn	5	1674390716377	1
DB5BB4E98737B4B3C5FB8E393FA0768370C2735262E0B56C6765AA02DD00B08C	newUser	5	1673386315223	1
B36E982535D68F70AC70F0D955C920E499B427317FE55CA83491C9E69C36A3B7	earnedIn	5	1673386315223	1
3E800B514F264A400E36476DC552DEEE8BB9C8776C9DB51F2ABC3045E5B29FCA	newUser	5	1667618476706	1
D02A31950FA1D05BEC45C5C2DE13DA1E665DDB4B598BFB62E4DC18599CB86785	newUser	5	1673386315223	1
